"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003411437","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","都道府県","1232","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第7-3、7-5表　工業団地内立地件数　(都道府県別)　年次","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第7-3、7-5表　工業団地内立地件数　(都道府県別)　年次","注１：工業団地：地方公共団体、公団、事業団、地方開発公社、第三セクター、民間デベロッパー、立地予定企業の組合などにより主として工場を設置させる目的で先行的につくられる、いわゆる先行造成工業団地。<br>注２：研究所を含まない。"
"0003411438","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","該当なし","359","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第7-3、7-5表　工業団地内立地件数　(地域別)　半期","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第7-3、7-5表　工業団地内立地件数　(地域別)　半期","注１：工業団地：地方公共団体、公団、事業団、地方開発公社、第三セクター、民間デベロッパー、立地予定企業の組合などにより主として工場を設置させる目的で先行的につくられる、いわゆる先行造成工業団地。<br>注２：研究所を含まない。"
"0003411439","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","都道府県","1096","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第7-3、7-5表　工業団地内立地件数　(都道府県別)　半期","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第7-3、7-5表　工業団地内立地件数　(都道府県別)　半期","注１：工業団地：地方公共団体、公団、事業団、地方開発公社、第三セクター、民間デベロッパー、立地予定企業の組合などにより主として工場を設置させる目的で先行的につくられる、いわゆる先行造成工業団地。<br>注２：研究所を含まない。"
"0003411440","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","該当なし","390","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第7-4、7-6表　工業団地内敷地面積　(地域別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第7-4、7-6表　工業団地内敷地面積　(地域別)","注１：工業団地：地方公共団体、公団、事業団、地方開発公社、第三セクター、民間デベロッパー、立地予定企業の組合などにより主として工場を設置させる目的で先行的につくられる、いわゆる先行造成工業団地。<br>注２：研究所を含まない。"
"0003411441","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","都道府県","1236","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第7-4、7-6表　工業団地内敷地面積　(都道府県別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第7-4、7-6表　工業団地内敷地面積　(都道府県別)","注１：工業団地：地方公共団体、公団、事業団、地方開発公社、第三セクター、民間デベロッパー、立地予定企業の組合などにより主として工場を設置させる目的で先行的につくられる、いわゆる先行造成工業団地。<br>注２：研究所を含まない。"
"0003411442","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","該当なし","778","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第8-1表　工業団地内立地率＜件数＞　(業種別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第8-1表　工業団地内立地率＜件数＞　(業種別)","注：2008年の日本標準産業分類改訂に伴い、以下の調整を実施。<br>＜繊維工業＞<br>・旧日本標準産業分類上の「繊維工業（衣服その他の繊維製品を除く）」「衣服・その他の繊維製品製造業」については「繊維工業」に編入となったため、1993年から2007年までの値については「繊維工業」に合算している。<br>・「炭素繊維製造業」は「窯業土石」から「繊維工業」に移動したため2002年から2007年までのデータについては「窯業土石」に含み、2008年については「繊維工業」に含んでいる。<br>・「化学繊維製造業」については1993年から2007年までのデータについて「化学工業」から除き、「繊維工業」に含めている。<br><br>＜はん用機械器具製造業、生産用機械器具製造業、業務用機械器具製造業および(旧)一般機械＞<br>・旧日本標準産業分類においては「一般機械器具製造業」と分類しており、今回の改正により「はん用機械器具製造業」「生産用機械器具製造業」「業務用機械器具製造業」に分かれたので併記することとする。<br>・「武器製造業」「計量器・測定器・分析機器・試験器製造業」「測量器械器具製造業」「医療用機械器具・医療用品製造業」「理化学機械器具製造業」「光学機械器具・レンズ製造業」については「業務用機械器具製造業」に含む。<br><br>＜電子部品デバイス電子回路製造業＞<br>・「光ディスク・磁気ディスク・磁気テープ製造業」は「電気機械器具製造業」から「電子部品デバイス」に移動したため、2002年から2007年までのデータについては「電気機械器具製造業」に含み、2008年については「電子部品デバイス電子回路製造業」に含む。<br><br>＜情報通信機械器具製造業＞<br>・「ビデオ機器製造業」「デジタルカメラ製造業」は「電気機械器具製造業」から「情報通信機械器具製造業」に移動したため、2002年から2007年までのデータについては「電気機械器具製造業」に含み、2008年については「情報通信機械器具製造業」に含む。<br><br>＜(旧)精密機械＞<br>・旧日本標準産業分類上の「精密機械」から「眼鏡製造業」「時計・同部分品製造業」を除いたものを併記することとする。<br><br>＜その他の製造業＞<br>・「眼鏡製造業」「時計・同部分品製造業」については「その他の製造業」に含む。<br><br>＜(旧)武器製造業＞<br>・「武器製造業」については、新日本標準産業分類上で「業務用機械」に分類されるため、旧分類上のデータを併記することとする。"
"0003411443","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","該当なし","778","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第8-2表　工業団地内立地率＜面積＞　(業種別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第8-2表　工業団地内立地率＜面積＞　(業種別)","注：2008年の日本標準産業分類改訂に伴い、以下の調整を実施。<br>＜繊維工業＞<br>・旧日本標準産業分類上の「繊維工業（衣服その他の繊維製品を除く）」「衣服・その他の繊維製品製造業」については「繊維工業」に編入となったため、1993年から2007年までの値については「繊維工業」に合算している。<br>・「炭素繊維製造業」は「窯業土石」から「繊維工業」に移動したため2002年から2007年までのデータについては「窯業土石」に含み、2008年については「繊維工業」に含んでいる。<br>・「化学繊維製造業」については1993年から2007年までのデータについて「化学工業」から除き、「繊維工業」に含めている。<br><br>＜はん用機械器具製造業、生産用機械器具製造業、業務用機械器具製造業および(旧)一般機械＞<br>・旧日本標準産業分類においては「一般機械器具製造業」と分類しており、今回の改正により「はん用機械器具製造業」「生産用機械器具製造業」「業務用機械器具製造業」に分かれたので併記することとする。<br>・「武器製造業」「計量器・測定器・分析機器・試験器製造業」「測量器械器具製造業」「医療用機械器具・医療用品製造業」「理化学機械器具製造業」「光学機械器具・レンズ製造業」については「業務用機械器具製造業」に含む。<br><br>＜電子部品デバイス電子回路製造業＞<br>・「光ディスク・磁気ディスク・磁気テープ製造業」は「電気機械器具製造業」から「電子部品デバイス」に移動したため、2002年から2007年までのデータについては「電気機械器具製造業」に含み、2008年については「電子部品デバイス電子回路製造業」に含む。<br><br>＜情報通信機械器具製造業＞<br>・「ビデオ機器製造業」「デジタルカメラ製造業」は「電気機械器具製造業」から「情報通信機械器具製造業」に移動したため、2002年から2007年までのデータについては「電気機械器具製造業」に含み、2008年については「情報通信機械器具製造業」に含む。<br><br>＜(旧)精密機械＞<br>・旧日本標準産業分類上の「精密機械」から「眼鏡製造業」「時計・同部分品製造業」を除いたものを併記することとする。<br><br>＜その他の製造業＞<br>・「眼鏡製造業」「時計・同部分品製造業」については「その他の製造業」に含む。<br><br>＜(旧)武器製造業＞<br>・「武器製造業」については、新日本標準産業分類上で「業務用機械」に分類されるため、旧分類上のデータを併記することとする。"
"0003411444","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","該当なし","390","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第8-3、8-5表　工業団地内立地率＜件数＞　(地域別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第8-3、8-5表　工業団地内立地率＜件数＞　(地域別)","注：研究所を含まない。"
"0003411445","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","都道府県","1236","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第8-3、8-5表　工業団地内立地率＜件数＞　(都道府県別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第8-3、8-5表　工業団地内立地率＜件数＞　(都道府県別)","注：研究所を含まない。"
"0003411446","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","該当なし","390","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第8-4、8-6表　工業団地内立地率＜面積＞　(地域別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第8-4、8-6表　工業団地内立地率＜面積＞　(地域別)","注：研究所を含まない。"
"0003411447","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","都道府県","1236","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第8-4、8-6表　工業団地内立地率＜面積＞　(都道府県別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第8-4、8-6表　工業団地内立地率＜面積＞　(都道府県別)","注：研究所を含まない。"
"0003411448","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","該当なし","776","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第9-1表　雇用予定従業者数　(業種別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第9-1表　雇用予定従業者数　(業種別)","注：2008年の日本標準産業分類改訂に伴い、以下の調整を実施。<br>＜繊維工業＞<br>・旧日本標準産業分類上の「繊維工業（衣服その他の繊維製品を除く）」「衣服・その他の繊維製品製造業」については「繊維工業」に編入となったため、1993年から2007年までの値については「繊維工業」に合算している。<br>・「炭素繊維製造業」は「窯業土石」から「繊維工業」に移動したため2002年から2007年までのデータについては「窯業土石」に含み、2008年については「繊維工業」に含んでいる。<br>・「化学繊維製造業」については1993年から2007年までのデータについて「化学工業」から除き、「繊維工業」に含めている。<br><br>＜はん用機械器具製造業、生産用機械器具製造業、業務用機械器具製造業および(旧)一般機械＞<br>・旧日本標準産業分類においては「一般機械器具製造業」と分類しており、今回の改正により「はん用機械器具製造業」「生産用機械器具製造業」「業務用機械器具製造業」に分かれたので併記することとする。<br>・「武器製造業」「計量器・測定器・分析機器・試験器製造業」「測量器械器具製造業」「医療用機械器具・医療用品製造業」「理化学機械器具製造業」「光学機械器具・レンズ製造業」については「業務用機械器具製造業」に含む。<br><br>＜電子部品デバイス電子回路製造業＞<br>・「光ディスク・磁気ディスク・磁気テープ製造業」は「電気機械器具製造業」から「電子部品デバイス」に移動したため、2002年から2007年までのデータについては「電気機械器具製造業」に含み、2008年については「電子部品デバイス電子回路製造業」に含む。<br><br>＜情報通信機械器具製造業＞<br>・「ビデオ機器製造業」「デジタルカメラ製造業」は「電気機械器具製造業」から「情報通信機械器具製造業」に移動したため、2002年から2007年までのデータについては「電気機械器具製造業」に含み、2008年については「情報通信機械器具製造業」に含む。<br><br>＜(旧)精密機械＞<br>・旧日本標準産業分類上の「精密機械」から「眼鏡製造業」「時計・同部分品製造業」を除いたものを併記することとする。<br><br>＜その他の製造業＞<br>・「眼鏡製造業」「時計・同部分品製造業」については「その他の製造業」に含む。<br><br>＜(旧)武器製造業＞<br>・「武器製造業」については、新日本標準産業分類上で「業務用機械」に分類されるため、旧分類上のデータを併記することとする。"
"0003411449","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","該当なし","390","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第9-2、9-3表　雇用予定従業者数　(地域別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第9-2、9-3表　雇用予定従業者数　(地域別)","注：研究所を含まない。"
"0003411450","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","都道府県","1241","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第9-2、9-3表　雇用予定従業者数　(都道府県別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第9-2、9-3表　雇用予定従業者数　(都道府県別)","注：研究所を含まない。"
"0003411451","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","該当なし","4178","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第10-1-1表　総括表　(業種別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第10-1-1表　総括表　(業種別)","注：有効回答分による集計結果。"
"0003411452","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","該当なし","2278","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第10-1-2、10-1-3表　総括表　(地域別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第10-1-2、10-1-3表　総括表　(地域別)","注１：有効回答分による集計結果。<br>注２：研究所を含まない。"
"0003411453","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","都道府県","7210","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第10-1-2、10-1-3表　総括表　(都道府県別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第10-1-2、10-1-3表　総括表　(都道府県別)","注１：有効回答分による集計結果。<br>注２：研究所を含まない。"
"0003411454","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","該当なし","26924","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第10-2表　総括表　(地域別･業種別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第10-2表　総括表　(地域別･業種別)","注：有効回答分による集計結果。"
"0003411455","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","該当なし","4704","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第11表　立地件数･敷地面積　(地域別･業種別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第11表　立地件数･敷地面積　(地域別･業種別)",""
"0003411456","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","都道府県","14404","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第12表　立地件数･敷地面積　(都道府県別･業種別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第12表　立地件数･敷地面積　(都道府県別･業種別)",""
"0003411457","工場立地動向調査 確報","年次","201701-201712","2022-02-18","0","都道府県","6508","2022-02-18","","00550510","工場立地動向調査","00550","経済産業省","1","第13表、第14表　内陸･臨海別立地件数･敷地面積 　(都道府県別)","08","住宅・土地・建設","01","住宅・土地","工場立地動向調査","確報","第13表、第14表　内陸･臨海別立地件数･敷地面積 　(都道府県別)","注１：有効回答分による集計結果。<br>注２：研究所を含まない。"
