"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0003456126","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","該当なし","10230","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-11-1","男女,介護を受けているか否か及びその状況,年齢,旅行・行楽の種類別行動者数(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,介護を受けているか否か及びその状況,年齢,旅行・行楽の種類別行動者数(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456127","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","該当なし","35805","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-11-2","男女,介護を受けているか否か及びその状況,年齢,旅行・行楽の種類別行動者数(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,介護を受けているか否か及びその状況,年齢,旅行・行楽の種類別行動者数(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456128","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","該当なし","10230","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-12-1","男女,介護を受けているか否か及びその状況,年齢,旅行・行楽の種類別行動者率(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,介護を受けているか否か及びその状況,年齢,旅行・行楽の種類別行動者率(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456129","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","該当なし","35805","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-12-2","男女,介護を受けているか否か及びその状況,年齢,旅行・行楽の種類別行動者率(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,介護を受けているか否か及びその状況,年齢,旅行・行楽の種類別行動者率(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456130","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","全国","9900","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-2-1","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456130","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","都道府県","9900","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-2-1","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456131","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","全国","34650","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-2-2","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456131","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","都道府県","34650","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-2-2","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456132","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","該当なし","6138","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-3-1","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者数(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者数(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456133","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","該当なし","21483","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-3-2","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者数(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者数(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456134","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","該当なし","6138","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-4-1","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者率(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者率(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456135","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","該当なし","21483","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-4-2","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者率(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,慢性的な病気や長期的な健康問題の有無,年齢,旅行・行楽の種類別行動者率(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456136","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","全国","9900","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-5-1","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者数(15歳以上)－全国，都道府県","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者数(15歳以上)－全国，都道府県","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456136","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","都道府県","9900","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-5-1","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者数(15歳以上)－全国，都道府県","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者数(15歳以上)－全国，都道府県","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456137","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","全国","34650","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-5-2","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者数(15歳以上)－全国，都道府県","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者数(15歳以上)－全国，都道府県","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456137","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","都道府県","34650","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-5-2","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者数(15歳以上)－全国，都道府県","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者数(15歳以上)－全国，都道府県","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456138","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","全国","9900","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-6-1","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456138","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","都道府県","9900","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-6-1","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456139","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","全国","34650","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-6-2","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456139","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","都道府県","34650","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-6-2","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者率(15歳以上)－全国，都道府県","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456140","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","該当なし","6138","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-7-1","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者数(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者数(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456141","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","該当なし","21483","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-7-2","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者数(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者数(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
"0003456142","令和3年社会生活基本調査 調査票Ａに基づく結果 生活行動に関する結果 生活行動編（地域） 旅行・行楽","-","202101-202112","2022-08-31","0","該当なし","6138","2026-09-03","","00200533","社会生活基本調査","00200","総務省","114-8-1","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者率(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","令和3年社会生活基本調査","調査票Ａに基づく結果","男女,日常生活への支障の程度,年齢,旅行・行楽の種類別行動者率(15歳以上)－14地域，11大都市圏・11大都市圏以外，都市階級","生活行動に関する結果","生活行動編（地域）","旅行・行楽",""
