"@code","@name","@level","id","meta_name","@parentCode"
"100","建設工事費デフレーター","","tab","表章項目",""
"200","【参考：後方3ヶ月平均値】建設工事費デフレーター","","tab","表章項目",""
"100","建設総合","1","cat01","工事種別","nan"
"110","建設総合_建築総合","2","cat01","工事種別","100"
"120","建設総合_建築総合_住宅総合","3","cat01","工事種別","110"
"130","建設総合_建築総合_住宅総合_木造住宅","4","cat01","工事種別","120"
"140","建設総合_建築総合_住宅総合_非木造住宅","4","cat01","工事種別","120"
"150","建設総合_建築総合_住宅総合_非木造住宅_鉄骨鉄筋","5","cat01","工事種別","140"
"160","建設総合_建築総合_住宅総合_非木造住宅_鉄筋","5","cat01","工事種別","140"
"170","建設総合_建築総合_住宅総合_非木造住宅_鉄骨","5","cat01","工事種別","140"
"180","建設総合_建築総合_住宅総合_非木造住宅_コンクリートブロックその他","5","cat01","工事種別","140"
"190","建設総合_建築総合_非住宅総合","3","cat01","工事種別","110"
"200","建設総合_建築総合_非住宅総合_木造非住宅","4","cat01","工事種別","190"
"210","建設総合_建築総合_非住宅総合_非木造非住宅","4","cat01","工事種別","190"
"220","建設総合_建築総合_非住宅総合_非木造非住宅_鉄骨鉄筋","5","cat01","工事種別","210"
"230","建設総合_建築総合_非住宅総合_非木造非住宅_鉄筋","5","cat01","工事種別","210"
"240","建設総合_建築総合_非住宅総合_非木造非住宅_鉄骨","5","cat01","工事種別","210"
"250","建設総合_建築総合_非住宅総合_非木造非住宅_コンクリートブロックその他","5","cat01","工事種別","210"
"270","建設総合_土木総合","2","cat01","工事種別","100"
"280","建設総合_土木総合_公共事業","3","cat01","工事種別","270"
"290","建設総合_土木総合_公共事業_土木1(含む災害復旧)","4","cat01","工事種別","280"
"300","建設総合_土木総合_公共事業_土木1(除く災害復旧)","4","cat01","工事種別","280"
"310","建設総合_土木総合_公共事業_土木1(除く災害復旧)_治水総合","5","cat01","工事種別","300"
"320","建設総合_土木総合_公共事業_土木1(除く災害復旧)_治水総合_河川","6","cat01","工事種別","310"
"330","建設総合_土木総合_公共事業_土木1(除く災害復旧)_治水総合_河川総合開発(水資源含む)","6","cat01","工事種別","310"
"340","建設総合_土木総合_公共事業_土木1(除く災害復旧)_治水総合_砂防","6","cat01","工事種別","310"
"350","建設総合_土木総合_公共事業_土木1(除く災害復旧)_海岸","5","cat01","工事種別","300"
"360","建設総合_土木総合_公共事業_土木1(除く災害復旧)_道路総合","5","cat01","工事種別","300"
"370","建設総合_土木総合_公共事業_土木1(除く災害復旧)_道路総合_一般道路","6","cat01","工事種別","360"
"380","建設総合_土木総合_公共事業_土木1(除く災害復旧)_道路総合_一般道路_道路1","7","cat01","工事種別","370"
"390","建設総合_土木総合_公共事業_土木1(除く災害復旧)_道路総合_一般道路_道路1_道路改良","8","cat01","工事種別","380"
"400","建設総合_土木総合_公共事業_土木1(除く災害復旧)_道路総合_一般道路_道路1_道路舗装","8","cat01","工事種別","380"
"410","建設総合_土木総合_公共事業_土木1(除く災害復旧)_道路総合_一般道路_道路1_道路橋梁","8","cat01","工事種別","380"
"420","建設総合_土木総合_公共事業_土木1(除く災害復旧)_道路総合_一般道路_道路1_道路補修","8","cat01","工事種別","380"
"430","建設総合_土木総合_公共事業_土木1(除く災害復旧)_道路総合_一般道路_街路1","7","cat01","工事種別","370"
"440","建設総合_土木総合_公共事業_土木1(除く災害復旧)_道路総合_一般道路_街路1_街路改良","8","cat01","工事種別","430"
"450","建設総合_土木総合_公共事業_土木1(除く災害復旧)_道路総合_一般道路_街路1_街路舗装","8","cat01","工事種別","430"
"460","建設総合_土木総合_公共事業_土木1(除く災害復旧)_道路総合_一般道路_街路1_街路橋梁","8","cat01","工事種別","430"
"470","建設総合_土木総合_公共事業_土木1(除く災害復旧)_道路総合_一般道路_街路1_区画整理","8","cat01","工事種別","430"
"480","建設総合_土木総合_公共事業_土木1(除く災害復旧)_道路総合_有料道路","6","cat01","工事種別","360"
"490","建設総合_土木総合_公共事業_土木1(除く災害復旧)_道路総合_有料道路_高速道路株式会社","7","cat01","工事種別","480"
"500","建設総合_土木総合_公共事業_土木1(除く災害復旧)_道路総合_有料道路_首都高速道路(株)","7","cat01","工事種別","480"
