"@code","@name","@level","@unit","id","meta_name","@parentCode"
"380","完成工事高","","百万円","tab","表章項目",""
"530","前年度比","","％","tab","表章項目",""
"100","計","1","","cat01","元・下請別完成工事高","nan"
"110","元請","2","","cat01","元・下請別完成工事高","100"
"120","民間","3","","cat01","元・下請別完成工事高","110"
"130","公共","3","","cat01","元・下請別完成工事高","110"
"2022100000","2022年度","1","","time","年度次",""
"2021100000","2021年度","1","","time","年度次",""
"2020100000","2020年度","1","","time","年度次",""
