"@code","@name","@level","@unit","id","meta_name","@parentCode"
"1760","長崎","2","","cat01","着空港","1000"
"1770","福江","2","","cat01","着空港","1000"
"1780","壱岐","2","","cat01","着空港","1000"
"1790","対馬","2","","cat01","着空港","1000"
"1800","上五島","2","","cat01","着空港","1000"
"1810","小値賀","2","","cat01","着空港","1000"
"1820","熊本","2","","cat01","着空港","1000"
"1830","天草","2","","cat01","着空港","1000"
"1840","大分","2","","cat01","着空港","1000"
"1860","宮崎","2","","cat01","着空港","1000"
"1870","鹿児島","2","","cat01","着空港","1000"
"1880","種子島","2","","cat01","着空港","1000"
"1890","屋久島","2","","cat01","着空港","1000"
"1900","奄美","2","","cat01","着空港","1000"
"1910","喜界島","2","","cat01","着空港","1000"
"1920","沖永良部","2","","cat01","着空港","1000"
"1930","与論","2","","cat01","着空港","1000"
"1940","徳之島","2","","cat01","着空港","1000"
"1950","那覇","2","","cat01","着空港","1000"
"1960","南大東島","2","","cat01","着空港","1000"
"1970","久米島","2","","cat01","着空港","1000"
"1980","宮古島","2","","cat01","着空港","1000"
"1990","石垣","2","","cat01","着空港","1000"
"2000","与那国","2","","cat01","着空港","1000"
"2010","多良間","2","","cat01","着空港","1000"
"2020","北大東島","2","","cat01","着空港","1000"
"2040","波照間","2","","cat01","着空港","1000"
"2050","粟国","2","","cat01","着空港","1000"
"2060","下地島","2","","cat01","着空港","1000"
"2070","慶良間","2","","cat01","着空港","1000"
"1000","合計","1","","cat02","発空港","nan"
"1010","稚内","2","","cat02","発空港","1000"
"1020","釧路","2","","cat02","発空港","1000"
"1030","函館","2","","cat02","発空港","1000"
"1040","旭川","2","","cat02","発空港","1000"
"1050","利尻","2","","cat02","発空港","1000"
"1060","帯広","2","","cat02","発空港","1000"
"1070","中標津","2","","cat02","発空港","1000"
"1080","紋別","2","","cat02","発空港","1000"
"1090","女満別","2","","cat02","発空港","1000"
"1100","奥尻","2","","cat02","発空港","1000"
"1120","新千歳","2","","cat02","発空港","1000"
"1130","丘珠","2","","cat02","発空港","1000"
"1150","青森","2","","cat02","発空港","1000"
"1170","三沢","2","","cat02","発空港","1000"
"1180","花巻","2","","cat02","発空港","1000"
"1190","仙台","2","","cat02","発空港","1000"
"1200","秋田","2","","cat02","発空港","1000"
"1210","大館","2","","cat02","発空港","1000"
"1220","山形","2","","cat02","発空港","1000"
"1230","庄内","2","","cat02","発空港","1000"
"1240","福島","2","","cat02","発空港","1000"
"1250","百里","2","","cat02","発空港","1000"
"1260","成田","2","","cat02","発空港","1000"
"1270","羽田","2","","cat02","発空港","1000"
"1280","大島","2","","cat02","発空港","1000"
"1290","三宅島","2","","cat02","発空港","1000"
"1300","八丈島","2","","cat02","発空港","1000"
"1310","調布","2","","cat02","発空港","1000"
"1320","新島","2","","cat02","発空港","1000"
"1330","神津島","2","","cat02","発空港","1000"
"1340","青ヶ島","2","","cat02","発空港","1000"
"1350","御蔵島","2","","cat02","発空港","1000"
"1360","利島","2","","cat02","発空港","1000"
"1380","新潟","2","","cat02","発空港","1000"
"1390","佐渡","2","","cat02","発空港","1000"
"1400","富山","2","","cat02","発空港","1000"
"1410","小松","2","","cat02","発空港","1000"
"1420","能登","2","","cat02","発空港","1000"
"1440","松本","2","","cat02","発空港","1000"
"1450","静岡","2","","cat02","発空港","1000"
"1460","名古屋","2","","cat02","発空港","1000"
"1470","中部","2","","cat02","発空港","1000"
"1490","大阪","2","","cat02","発空港","1000"
"1520","関西","2","","cat02","発空港","1000"
"1530","神戸","2","","cat02","発空港","1000"
"1540","但馬","2","","cat02","発空港","1000"
"1550","南紀白浜","2","","cat02","発空港","1000"
"1570","鳥取","2","","cat02","発空港","1000"
"1580","美保","2","","cat02","発空港","1000"
"1590","隠岐","2","","cat02","発空港","1000"
"1600","出雲","2","","cat02","発空港","1000"
"1610","石見","2","","cat02","発空港","1000"
"1620","岡山","2","","cat02","発空港","1000"
"1630","広島","2","","cat02","発空港","1000"
"1640","広島西","2","","cat02","発空港","1000"
"1650","山口宇部","2","","cat02","発空港","1000"
"1660","岩国","2","","cat02","発空港","1000"
"1680","徳島","2","","cat02","発空港","1000"
"1690","高松","2","","cat02","発空港","1000"
"1700","松山","2","","cat02","発空港","1000"
"1720","高知","2","","cat02","発空港","1000"
"1730","福岡","2","","cat02","発空港","1000"
"1740","北九州","2","","cat02","発空港","1000"
"1750","佐賀","2","","cat02","発空港","1000"
"1760","長崎","2","","cat02","発空港","1000"
"1770","福江","2","","cat02","発空港","1000"
"1780","壱岐","2","","cat02","発空港","1000"
"1790","対馬","2","","cat02","発空港","1000"
"1800","上五島","2","","cat02","発空港","1000"
"1810","小値賀","2","","cat02","発空港","1000"
"1820","熊本","2","","cat02","発空港","1000"
"1830","天草","2","","cat02","発空港","1000"
"1840","大分","2","","cat02","発空港","1000"
"1860","宮崎","2","","cat02","発空港","1000"
"1870","鹿児島","2","","cat02","発空港","1000"
"1880","種子島","2","","cat02","発空港","1000"
"1890","屋久島","2","","cat02","発空港","1000"
"1900","奄美","2","","cat02","発空港","1000"
"1910","喜界島","2","","cat02","発空港","1000"
"1920","沖永良部","2","","cat02","発空港","1000"
"1930","与論","2","","cat02","発空港","1000"
"1940","徳之島","2","","cat02","発空港","1000"
"1950","那覇","2","","cat02","発空港","1000"
"1960","南大東島","2","","cat02","発空港","1000"
"1970","久米島","2","","cat02","発空港","1000"
"1980","宮古島","2","","cat02","発空港","1000"
"1990","石垣","2","","cat02","発空港","1000"
"2000","与那国","2","","cat02","発空港","1000"
"2010","多良間","2","","cat02","発空港","1000"
"2020","北大東島","2","","cat02","発空港","1000"
"2040","波照間","2","","cat02","発空港","1000"
"2050","粟国","2","","cat02","発空港","1000"
"2060","下地島","2","","cat02","発空港","1000"
"2070","慶良間","2","","cat02","発空港","1000"
"2023000000","2023年","1","","time","年次",""
"2022000000","2022年","1","","time","年次",""
"2021000000","2021年","1","","time","年次",""
"2020000000","2020年","1","","time","年次",""
"2019000000","2019年","1","","time","年次",""
"2018000000","2018年","1","","time","年次",""
"2017000000","2017年","1","","time","年次",""
"2016000000","2016年","1","","time","年次",""
"2015000000","2015年","1","","time","年次",""
"2014000000","2014年","1","","time","年次",""
"2013000000","2013年","1","","time","年次",""
"2012000000","2012年","1","","time","年次",""
"2011000000","2011年","1","","time","年次",""
"2010000000","2010年","1","","time","年次",""
"2009000000","2009年","1","","time","年次",""
"2008000000","2008年","1","","time","年次",""
"2007000000","2007年","1","","time","年次",""
"2006000000","2006年","1","","time","年次",""
