"@code","@name","@level","@unit","id","meta_name","@parentCode"
"140","受託件数","","件","tab","表章項目",""
"150","仕立件数","","件","tab","表章項目",""
"160","重量","","kg","tab","表章項目",""
"50000","日本","1","","cat01","仕立地（国際）",""
"50000","合計","1","","area","仕向地（国際）","nan"
"50100","北米","2","","area","仕向地（国際）","50000"
"50110","合衆国","3","","area","仕向地（国際）","50100"
"50120","ニューヨーク","4","","area","仕向地（国際）","50110"
"50130","シカゴ","4","","area","仕向地（国際）","50110"
"50140","西海岸","4","","area","仕向地（国際）","50110"
"50150","合衆国_その他","4","","area","仕向地（国際）","50110"
"50160","北米_その他","3","","area","仕向地（国際）","50100"
"50600","欧州","2","","area","仕向地（国際）","50000"
"50200","英国","3","","area","仕向地（国際）","50200"
"50300","ドイツ","3","","area","仕向地（国際）","50200"
"50400","北欧","3","","area","仕向地（国際）","50200"
"50500","欧州_その他","3","","area","仕向地（国際）","50200"
"50700","アフリカ","2","","area","仕向地（国際）","50000"
"50800","オセアニア","2","","area","仕向地（国際）","50000"
"50900","アジア","2","","area","仕向地（国際）","50000"
"51000","その他","2","","area","仕向地（国際）","50000"
"2006000000","2006年","1","","time","年次",""
